hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
rephetio-v2.0_perm-1	CpDtCbGuD	0.03212	0.50937	0.13666	dwpc	1
rephetio-v2.0_perm-2	CpDtCbGuD	0.02727	0.50626	0.13163	dwpc	1
rephetio-v2.0_perm-3	CpDtCbGuD	0.032657	0.51602	0.16	dwpc	1
rephetio-v2.0_perm-4	CpDtCbGuD	0.027766	0.50526	0.12693	dwpc	1
rephetio-v2.0_perm-5	CpDtCbGuD	0.02838	0.51308	0.15415	dwpc	1
rephetio-v2.0	CpDtCdGaD	0.075762	0.51774	0.24813	dwpc	0
rephetio-v2.0_perm-1	CpDtCdGaD	0.094076	0.52209	0.13453	dwpc	1
rephetio-v2.0_perm-2	CpDtCdGaD	0.080525	0.51745	0.13398	dwpc	1
rephetio-v2.0_perm-3	CpDtCdGaD	0.09513	0.52077	0.13213	dwpc	1
rephetio-v2.0_perm-4	CpDtCdGaD	0.082443	0.51049	0.1254	dwpc	1
rephetio-v2.0_perm-5	CpDtCdGaD	0.082288	0.52809	0.14719	dwpc	1
rephetio-v2.0	CpDtCdGdD	0.036556	0.51461	0.28129	dwpc	0
rephetio-v2.0_perm-1	CpDtCdGdD	0.042684	0.51152	0.13641	dwpc	1
rephetio-v2.0_perm-2	CpDtCdGdD	0.037836	0.51052	0.1346	dwpc	1
rephetio-v2.0_perm-3	CpDtCdGdD	0.041318	0.5207	0.15897	dwpc	1
rephetio-v2.0_perm-4	CpDtCdGdD	0.037021	0.50899	0.13391	dwpc	1
rephetio-v2.0_perm-5	CpDtCdGdD	0.038363	0.5178	0.15433	dwpc	1
rephetio-v2.0	CpDtCdGuD	0.035232	0.50973	0.25442	dwpc	0
rephetio-v2.0_perm-1	CpDtCdGuD	0.04354	0.51322	0.13748	dwpc	1
rephetio-v2.0_perm-2	CpDtCdGuD	0.037836	0.51364	0.14371	dwpc	1
rephetio-v2.0_perm-3	CpDtCdGuD	0.043873	0.52145	0.15923	dwpc	1
rephetio-v2.0_perm-4	CpDtCdGuD	0.038587	0.5102	0.13368	dwpc	1
rephetio-v2.0_perm-5	CpDtCdGuD	0.040074	0.5205	0.15961	dwpc	1
rephetio-v2.0	CpDtCpD	0.0050331	0.501	0.23185	dwpc	0
